subject,course,x,y
Lecturette:  C Cycle,ne 8: Inorganic Carbon Cycle,-15.503,-3.0559
Actions,Project,29.691,0.85276
Planet 6,ne 6: Application,15.699,-23.702
Determine Albedo,ne 10: Ancient Climates,1.2455,18.414
Europa,fl 2: Application,-11.931,9.9978
All,fl 4: Phototrophy,-11.766,24.194
Tag Mars,ne 6: Planetary Evolution,30.093,0.0079561
Choose Clock,ne 7: Age Dating,11.76,-12.252
Lecturette:  Greenhouse Gasses,ne 8: Inorganic Carbon Cycle,-14.02,-3.5955
Cold Environment,ne 10: Ancient Climates,14.167,4.0402
Revisit Chain,ne 10: Ancient Climates,-11.266,-13.374
Other,fl 3: Redox Chemistry,1.0386,18.114
Which Way Up?,ne 7: Age Dating,16.811,-14.86
Max Wobble,fp 2: Radial Velocity,-13.504,-23.507
Multi Stars,ne 3: Gasses,-13.53,-3.1544
Pulse,L: Doomsday,-14.169,-3.9498
Exit,R* 5: Application,-5.042,-8.3992
Bacteriochlorophyll A,fl 4: Phototrophy,-11.646,24.264
Deaths - Blue,R* 5: Stellar Lifecycles,-0.027823,-19.579
Aerial Basalts,ne 7: Age Dating,15.653,-23.642
Aliens Out There,Intro 5: The Scientific Process,29.906,0.49215
Vis Absorbers,ne 3: Gasses,6.7317,4.9864
Tag Venus,ne 6: Planetary Evolution,29.933,0.391
Move,R* 2: Brightness,-13.517,-23.492
IR Absorbers,ne 3: Gasses,6.8366,5.0742
Instructions,R* 5: Application,-1.5602,-5.2993
Cap Carbonate - Identify,ne 10: Ancient Climates,14.187,3.973
Combo 1,R* 6: Elements,-11.245,-13.511
Rain --> Soil,ne 8: Inorganic Carbon Cycle,-15.276,-4.0506
Solar System,fp 4: Atmospheres,-18.261,17.689
Build-an-Earth,fp 3: Planet Composition,-26.296,-5.4092
Describe Rocks,ne 7: Age Dating,16.407,-15.347
Distance - Pluto,Intro 3: Space,-2.2998,-24.625
Exoplanets,fp 4: Atmospheres,-18.346,17.517
Tag Earth,ne 6: Planetary Evolution,29.679,1.2381
Far Planet,fp 1: Transits,-0.5893,17.212
Alien Artifacts,Intro 5: The Scientific Process,29.956,0.12922
Marble Bar,ne 10: Ancient Climates,-11.269,-13.277
Rates,ne 8: Inorganic Carbon Cycle,-15.555,-3.887
Other Planets,ne 1: Water,-10.333,-24.867
Exact Ages,R* 5: Stellar Lifecycles,-0.018236,-19.483
Alien Origins,Intro 5: The Scientific Process,29.975,-0.36933
Lecturette:  Clock Use,ne 7: Age Dating,11.619,-12.106
Lecturette:  Density,fp 3: Planet Composition,-11.758,24.007
Life Division,fi 1: Oxygen and Life,18.575,0.24806
Ancient Aliens,Intro 5: The Scientific Process,29.896,-1.3524
Shrink Star,fp 1: Transits,-4.8914,5.3939
Tutorial - Move,R* 2: Brightness,-9.3951,-25.095
Calculation,Intro 4: Time,-8.8412,-24.368
Reading Graphs,Science Literacy,-7.4357,2.6483
Lecturette:  Plate Tectonics,ne 8: Inorganic Carbon Cycle,-14.422,-3.8682
Object Temps,R* 3: Color,4.0167,14.405
Molecules,ne 8: Inorganic Carbon Cycle,-14.794,-4.0335
H2S,ne 3: Gasses,11.671,27.915
Exponents,Science Literacy,-7.238,2.5786
Distance - Proxima Centauri,Intro 3: Space,-2.354,-24.426
Snowball Break,ne 10: Ancient Climates,11.55,27.305
Energy Sources,fl 1: Defining Life,-18.423,17.379
Metallicity,R* 6: Elements,12.439,-19.862
Reservoirs,ne 8: Inorganic Carbon Cycle,-15.113,-4.1662
Accumulation,ne 8: Inorganic Carbon Cycle,-15.724,-3.9203
Moon,ne 5: Climate,25.529,-2.4904
Runaway?,L: Doomsday,-14.058,-3.6904
Half-life 3,ne 7: Age Dating,11.603,-13.723
Combo 3,fl 3: Application,-0.36385,17.487
Signs of Life,fl 5: Biosignatures,-22.617,7.5354
Mass at 10.5,fp 2: Radial Velocity,-0.688,26.461
Size - Pillars of Creation,Intro 3: Space,-2.4789,-24.397
Refresher - Runaway GH Kill,L: Doomsday,-13.786,-3.4369
Zircon Build,ne 7: Age Dating,11.476,-13.676
Discover Elements,R* 6: Elements,-6.9448,-23.898
Meth - Points,R* 2: Brightness,-8.5557,-24.373
Planets - Past Igneous Rocks,ne 6: Planetary Evolution,2.2622,13.212
Orange Coloration,ne 7: Age Dating,12.621,-19.643
Discover Supernova,R* 6: Elements,-7.7653,-24.392
Earth Density,fp 3: Planet Composition,-24.403,10.536
Planets - Sed. Rocks,ne 6: Planetary Evolution,6.616,4.952
UV Absorbers,ne 3: Gasses,13.553,-6.7934
Calculate Radius,fp 1: Transits,-4.6065,5.4586
Pressure Experiment,ne 3: Gasses,0.64371,0.85943
Combo 4,R* 6: Elements,-12.479,-13.287
Tutorial - Graph,R* 2: Brightness,-9.0186,-24.875
Cardinal Direction,ne 7: Age Dating,18.068,-12.981
Filtered View - 288 K,R* 3: Color,2.7454,14.401
Correlate,fp 2: Radial Velocity,0.45663,-11.763
Venus Set-up,ne 9: Habitable Zone,13.546,20.341
Deaths - Red,R* 5: Stellar Lifecycles,-0.012737,-19.046
Distance - Galactic Core,Intro 3: Space,-3.0272,-24.11
Lecturette:  Observation,Intro 5: The Scientific Process,18.615,-20.111
Lecturette:  Special Water,ne 1: Water,-22.554,7.2035
Sequence 4,ne 7: Age Dating,27.065,-7.4886
False Negative,fl 5: Biosignatures,-12.025,9.8269
Tutorial,fp 1: Transits,-1.0942,17.296
Evaluation 4,fp 1: Application,-8.4838,-3.2845
Stability Range,ne 1: Water,-17.25,-20.064
CO2 Freeze-out,ne 9: Habitable Zone,-0.79857,26.319
Archean Geochemistry,fl 5: Biosignatures,-6.4919,13.592
Life Start/End,Intro 4: Time,-8.5721,-24.041
Solar Luminosity,L: Doomsday,7.0657,13.125
Planet Hosts,R* 6: Elements,13.397,-19.326
UVC,fl 4: Phototrophy,-9.6745,23.721
Phase Transition,ne 1: Water,-20.763,-21.945
Count Features,ne 6: Planetary Evolution,13.604,7.2488
Build-a-Pluto,fp 3: Planet Composition,-25.792,-5.7865
Distance - Jupiter,Intro 3: Space,-2.038,-24.071
UV Setup,ne 3: Gasses,-2.3909,-0.86052
Calculation,Intro 4: Time,-7.9279,-25.018
Calculating Flux,ne 2: Energy Balance,-20.368,-21.113
Calculation,Intro 4: Time,-8.2339,-24.656
Version 1,fp 3: Planet Composition,-25.666,-5.7937
Chert Orientation,ne 7: Age Dating,18.09,-12.906
Convection Cell,ne 5: Climate,22.192,8.392
Filtered View - 5800 K,R* 3: Color,2.1483,13.948
Loop - GHE/Temp,ne 8: Inorganic Carbon Cycle,1.2208,29.425
Star 5,R* 6: Elements,4.6589,-25.123
Distance - Mars,Intro 3: Space,-1.8034,-24.024
Water Worlds,ne 10: Ancient Climates,10.776,-2.9068
Tutorial,ne 8: Inorganic Carbon Cycle,-15.043,-4.3409
Lightcurve 1,fp 2: Application,-25.237,-5.6956
Variation 2,fp 1: Transits,-6.2485,-0.78407
Protein - Components,fl 1: Defining Life,-24.288,1.881
Terminology,L: Doomsday,14.646,25.423
IR Setup,ne 3: Gasses,-5.5133,-4.5061
Giant 1,R* 4: H-R Diagram,-1.5959,-11.213
RH - UR Description,ne 7: Age Dating,8.4787,-22.256
Make a Planet,R* 6: Elements,5.7218,-23.504
Different Clocks,ne 7: Age Dating,11.194,-13.834
40K-40Ar,ne 7: Age Dating,11.299,-12.392
Strom Antiquity,fl 5: Biosignatures,-16.733,-9.3468
Event 3,Intro 6: Drake Conjecture,7.1,13.125
Lecturette:  Metallicity,R* 6: Elements,4.6971,-24.879
High Metallicity 2,R* 6: Application,0.34492,-11.203
Tag Moon,ne 6: Planetary Evolution,14.028,7.948
Reflection,Intro 4: Time,4.2488,-24.988
RH - Lum/Teff,ne 10: Ancient Climates,-12.094,-13.313
Energy Balance,ne 2: Energy Balance,-22.223,-6.088
Conspiracy,Intro 5: The Scientific Process,29.877,-1.3979
RH - MB - Texture,ne 7: Age Dating,15.841,-16.191
Planets - Current Geodynamics,ne 6: Planetary Evolution,2.2799,13.272
Lecturette:  Snowball Earth,ne 10: Ancient Climates,15.019,0.78941
Star 1,fp 1: Transits,-1.6361,3.4168
Type of Rock,ne 7: Age Dating,10.718,-13.529
Distance - Light-years,Intro 3: Space,-2.4416,-24.149
BIF Antiquity,fl 5: Biosignatures,10.69,-2.5906
Anaerobic,fl 3: Redox Chemistry,0.59555,19.29
Planets - Past Geodynamics,ne 6: Planetary Evolution,2.2654,13.091
Count Features,ne 6: Planetary Evolution,13.856,7.9224
Lightcurve 3,fp 1: Application,-8.5788,-3.3493
New Observations,fp 2: Radial Velocity,-5.9684,-18.292
Describe,fp 2: Radial Velocity,-6.7513,-18.491
Older Younger,ne 7: Age Dating,18.157,-12.695
Option 1,fp 2: Radial Velocity,16.715,-6.9235
Evaluation - Calc,ne 2: Application,-26.323,-23.075
Lecturette - Chondrites,fp 4: Atmospheres,-21.231,0.41421
Pluto Density,fp 3: Planet Composition,-25.918,-5.7355
Thinking - Mars,Science Literacy,-13.502,4.593
Survey,fl 4: Phototrophy,-4.0258,19.64
Survey Results,fp 1: Transits,0.58571,0.29013
Obs 8,Intro 2: Mindscapes,-8.1779,13.477
Overall,Conclusion,22.491,0.78707
Current Status,ne 3: Gasses,6.2641,25.502
Introduction,fc: Civilization and Energy,0.11812,4.802
Comparison,fl 5: Biosignatures,-22.816,-8.762
New Energy,fc: Civilization and Energy,0.30321,0.91017
Archean Summary,fl 5: Biosignatures,-15.895,9.3059
Sedimentary Rocks,ne 6: Planetary Evolution,14.88,-7.4469
Bad Biosig,fl 5: Biosignatures,-16.529,9.0952
Second Law,fl 1: Defining Life,-18.121,10.493
Food,fl 3: Redox Chemistry,-8.0553,20.499
Food Redox,fl 3: Redox Chemistry,-7.5081,20.862
Phase Diagram,ne 1: Water,-18.872,-19.589
Lecturette:  Tree of Life,fl 3: Redox Chemistry,-11.274,16.477
Instructions,R* 6: Application,0.15824,-12.994
Breakthrough Incremental,Intro 1: Preconceptions,-12.251,15.561
Rust,ne 7: Age Dating,13.114,-20.865
Summary,ne 3: Gasses,6.2577,25.272
Reaching Conclusions,fp 1: Transits,-5.6493,-2.2802
Escape Velocity,fp 4: Atmospheres,-22.685,0.65418
Cherts 2,ne 7: Age Dating,19.876,-9.9509
Chert,ne 7: Age Dating,8.7113,-20.903
Meth - Do,R* 2: Brightness,-9.6767,-22.141
Lonely Planet,Intro 5: The Scientific Process,12.941,-21.235
Nebula,Intro 6: Drake Conjecture,10.68,9.4311
Another Way,fp 2: Radial Velocity,-5.3854,-19.299
Exit,ne 3: Application,16.002,2.6892
Boundaries,R* 2: Brightness,-18.566,-18.975
Refresher - Energy,ne 3: Gasses,-26.888,-20.834
Population,fi 2: Evolution,8.544,11.974
Set 2,R* 3: Color,-4.5936,-1.5149
Survey Results,fl 1: Defining Life,-22.209,-3.6422
Combo 1,fp 3: Application,-22.297,-1.6361
Edge-On,fp 2: Radial Velocity,12.078,25.068
Daughter Appearance,ne 7: Age Dating,9.7617,-14.412
Construction,fl 1: Defining Life,-23.336,0.50754
Summary,fp 1: Transits,-6.0774,-3.0931
Methodology - Intro,R* 2: Brightness,-8.1739,-22.17
Core,ne 10: Application,-19.493,-9.6619
Exponentials - Positive,Science Literacy,-6.5316,0.41447
Highlighted Gasses,ne 3: Gasses,6.2913,26.258
fp,Intro 6: Drake Conjecture,8.154,-8.9289
Orient North,ne 7: Age Dating,15.666,-18.187
Radio Telescopes,Intro 6: Drake Conjecture,10.002,9.8765
Min-Max Brightness,R* 2: Brightness,-23.381,-20.505
Earth Flux,R* 2: Brightness,-25.276,-19.786
CO2 Collapse,L: Doomsday,8.3583,10.426
Line of Best Fit,fp 1: Transits,-1.0317,4.526
Sig Figs,Science Literacy,-6.1349,0.16999
Large Planets,ne 6: Planetary Evolution,8.4139,-10.26
Tutorial,Intro 4: Time,-6.6062,-21.914
Survey,R* 5: Stellar Lifecycles,-4.4951,-7.5516
Parsimony,fp 3: Planet Composition,-19.273,14.643
Ratio,ne 6: Planetary Evolution,1.8213,8.6233
Evaluate Hypothesis,fp 1: Transits,-1.2698,4.8189
Chain of Logic,ne 10: Ancient Climates,11.628,-3.1257
Absolute Dates,ne 7: Age Dating,24.541,-4.1646
Tutorial,ne 3: Gasses,-27.567,-19.761
Plans,Intro 1: Preconceptions,-21.09,11.939
Lecturette:  Earth Earth,fl 5: Biosignatures,-3.4495,15.862
UV Percentages,ne 3: Gasses,-0.51821,-0.95149
Calculation,Intro 4: Time,-7.388,-22.171
Prelim Final,Intro 1: Preconceptions,-12.065,15.636
Shearers' Quarters,fl 5: Biosignatures,-18.473,8.7365
Supergiant 2,R* 4: H-R Diagram,-1.228,-9.789
EM Spectrum,R* 3: Color,8.0792,9.1234
Habitability,ne 5: Climate,16.523,12.955
Jumps,R* 2: Brightness,-19.258,-19.314
Evaluation 10,R* 3: Application,-5.2932,-5.3776
Relationship,R* 4: H-R Diagram,-3.517,-7.5843
Instructions,ne 10: Application,-18.869,-10.642
Language,fp 1: Transits,0.24042,10.85
Climates,ne 10: Ancient Climates,10.156,22.956
Marble Bar,ne 7: Age Dating,17.52,-19.066
Count Features,ne 6: Planetary Evolution,17.679,-8.5817
Evaluation 2,R* 3: Application,-5.7931,-4.1675
Greeks,R* 2: Brightness,-18.329,-18.814
Dinos,Intro 4: Time,2.3352,-24.048
Exit,ne 7: Application,13.295,0.70857
Intro BaP,R* 6: Elements,4.9437,-22.883
Time 2 - Rock 2,ne 7: Application,13.655,0.42224
Complete Timeline,Intro 4: Time,3.3235,-23.9
Lecturette:  Doppler Shift,fp 2: Radial Velocity,1.1671,-11.607
Color-Energy Ranking,R* 3: Color,8.2954,11.036
Star 3,fp 1: Transits,-1.4751,0.95877
Temp vs. Distance,ne 2: Energy Balance,-18.67,-8.0398
New Estimate,fp 1: Transits,-8.891,14.473
Exit,fl 3: Application,-3.61,19.348
Neptune Composition,fp 3: Planet Composition,-22.793,11.541
Intro,ne 10: Ancient Climates,-2.0665,22.733
Combo 7,fl 1: Application,-12.659,6.7355
Albedo Review,ne 10: Ancient Climates,-1.8224,22.588
Survey Intro,Intro 1: Preconceptions,-22.762,10.923
Evaluation 3,fp 1: Application,-7.1018,-3.7542
Expanding Parameters,fl 3: Redox Chemistry,-2.8638,22.472
Instability,ne 5: Climate,24.721,-6.542
Conclusion,fc: Civilization and Energy,5.9718,-6.4898
Passed Light,fp 1: Transits,-6.3217,10.278
Hydrogen,R* 6: Elements,-15.015,-12.115
Light Curve Info,fp 1: Transits,-6.4885,10.712
Humans,Intro 4: Time,2.835,-23.929
Lecturette:  Radius Calculation,fp 1: Transits,-3.222,6.0698
Summary,ne 8: Inorganic Carbon Cycle,12.489,21.143
Refresher - Atoms,ne 3: Gasses,-27.051,-20.637
Titan,fl 2: Application,-12.21,13.7
Original Review,ne 7: Age Dating,10.284,-21.67
Exoplanets,fp 1: Transits,0.28436,-0.84835
Energy,Science Literacy,-20.711,8.3488
Enceladus,fl 2: Application,-12.229,14.158
Obs 3,Intro 2: Mindscapes,-6.6347,11.295
Event 2,Intro 6: Drake Conjecture,9.45,11.479
Phases of Water,ne 5: Climate,25.904,-7.2429
Choose Formations,ne 7: Age Dating,9.4364,-13.736
Complex Cells,Intro 4: Time,-8.9163,-22.191
Formation Time,ne 7: Age Dating,9.4942,-13.835
Hard to See,fp 1: Transits,0.24193,2.8776
Inclinations,fp 1: Transits,-0.071854,11.554
Refresher - Runaway GH Compare,L: Doomsday,6.1047,25.99
Map - Australia,fl 5: Biosignatures,-24.525,-9.4892
Results,R* 2: Brightness,-17.808,-18.488
Transit Definition,fp 1: Transits,0.56571,5.6284
Summary,R* 5: Stellar Lifecycles,-3.4984,-16.842
About Kepler,fp 1: Transits,0.60891,7.0037
Exit,ne 9: Application,-3.1766,23.577
Lecturette:  Planck,R* 3: Color,-0.13325,12.108
Rain,ne 5: Climate,23.747,7.328
Instructions,ne 7: Application,14.244,-0.12683
Blue Star,R* 4: H-R Diagram,0.37201,-11.461
Unusual Atmospheres,fp 4: Atmospheres,-18.897,13.286
Significance,ne 6: Planetary Evolution,1.6672,8.95
Numbers,Science Literacy,-12.521,5.2267
fp,Intro 6: Drake Conjecture,14.133,15.677
Reason for Difference,fp 2: Radial Velocity,4.1182,29.214
Climate Change,L: Doomsday,10.166,25.235
Planets - Geomorphic Resurfacing,ne 6: Planetary Evolution,14.46,-7.0248
Sources and Sinks,L: Doomsday,12.642,-2.2071
Evaluation 4,R* 3: Application,-4.8337,-6.2294
Outcrop Properties,ne 7: Age Dating,9.4837,-21.052
Instructions,fl 1: Application,-12.632,6.1603
Dales Gorge - BIFs,fl 5: Biosignatures,11.522,-1.8845
Lecturette:  Observation,Intro 5: The Scientific Process,12.552,8.7665
Atomic Symbols,Science Literacy,-18.368,7.659
Experiment,ne 10: Ancient Climates,11.701,-3.0062
Combo 2,fp 3: Application,-22.204,-3.2385
Original Rocks,ne 7: Age Dating,12.399,-21.413
Exit,ne 2: Application,-26.424,-21.612
Discrepancy,fl 5: Biosignatures,12.418,-2.0761
Process Knowledge,Intro 1: Preconceptions,-12.844,15.387
Alien Worlds,fl 4: Phototrophy,-4.761,21.382
Exit,R* 6: Application,0.52358,-9.9832
Decreasing CO2,ne 8: Inorganic Carbon Cycle,8.0869,25.693
Bias,fp 1: Transits,-3.0394,-0.11483
Planck Function,fp 2: Radial Velocity,-3.8703,-17.965
Orbital Radius,ne 2: Energy Balance,-17.153,-11.501
Spectrum - Emit,R* 6: Elements,-16.132,-13.266
Euro Basalt,ne 7: Age Dating,21.168,-9.8922
Reflection,Intro 5: The Scientific Process,11.641,9.0818
IR Behavior,ne 3: Gasses,-2.9062,-5.381
Blueshift,fp 2: Radial Velocity,0.037589,-13.18
Spectra,R* 6: Elements,-15.636,-11.815
Rivers --> Ocean,ne 8: Inorganic Carbon Cycle,-17.905,-6.5621
Instructions,ne 5: Application,16.277,12.103
Survey,ne 10: Ancient Climates,-2.9675,23.389
Survey,R* 2: Brightness,-4.722,-18.464
Instructions,ne 4: Application,16.997,2.2184
Lecturette - Element Formation,R* 6: Elements,-10.289,-21.26
Aerobes Energy Yield,fl 3: Redox Chemistry,-0.14594,20.277
Closer/Farther,R* 1: Distance to Stars,4.3813,-19.093
Water Zone,ne 2: Energy Balance,-22.971,-21.463
Effective Temperature,ne 2: Energy Balance,-16.548,-14.046
Depictions,fi 2: Evolution,2.1682,9.2956
Explanation,R* 2: Brightness,-24.946,-19.904
Animals,fl 3: Redox Chemistry,-11.91,15.08
Yummy Bacteria Colors,fl 4: Phototrophy,-4.9233,22.369
Atom Components,Science Literacy,-19.067,7.8118
Move the Planet,ne 2: Energy Balance,-22.629,-21.293
RH - Temp/Phase,ne 10: Ancient Climates,-13.731,-13.324
Lecturette:  Sizes,R* 4: H-R Diagram,0.18484,-11.239
Introduction,fi 1: Oxygen and Life,14.71,-0.467
Suberial Basalts,ne 7: Age Dating,15.974,-20.7
Sequence 6,ne 7: Age Dating,25.801,-6.3421
Star,fl 2: Life Ingredients,-14.334,6.0701
Recipe,Intro 6: Drake Conjecture,11.534,14.718
Drake Equation,Intro 6: Drake Conjecture,8.4377,-8.6025
Planet Patterns,ne 6: Planetary Evolution,15.596,-8.2526
Identify System,Intro 6: Drake Conjecture,11.064,14.284
Red Star,R* 4: H-R Diagram,0.43148,-11.553
Evaluation 5,R* 1: Application,-4.4065,-18.053
Membrane,fl 1: Defining Life,-22.875,-0.58349
Method,fp 1: Transits,-2.6405,16.685
Slow Progress,Intro 5: The Scientific Process,13.609,-20.875
Lecturette - Element Abundances,R* 6: Elements,-9.9109,-21.499
Mass vs. Retention,fp 4: Atmospheres,-23.369,1.7919
Add Oxygen,fi 1: Oxygen and Life,20.264,3.4407
New Estimate,fp 1: Transits,-9.525,15.51
Difference,ne 5: Climate,24.787,-6.1375
Bias,fp 2: Radial Velocity,14.174,15.69
Wien's Law,R* 3: Color,-4.2617,2.0076
Bioessential Elements,fl 1: Defining Life,-23.415,2.7
Final,R* 2: Brightness,-6.769,-21.437
Are We Alone?,Intro 5: The Scientific Process,17.946,-18.596
Uniformitarianism,ne 7: Age Dating,16.262,-18.458
Evaluation 7,R* 3: Application,-5.8204,-3.9915
Hypothesis,R* 2: Brightness,-7.1545,-21.679
Civilization Test,fc: Application,18.01,11.298
Exit,fp 3: Application,-22.264,-0.88575
Explanation,fi 2: Evolution,1.8948,8.9445
Exit,fc: Application,5.9546,-6.8251
Temps - Generic,R* 3: Color,-4.0061,8.4785
Survey,ne 9: Habitable Zone,12.664,21.04
Recipe,Intro 6: Drake Conjecture,10.647,13.81
Bio Site Exploration,fi 1: Oxygen and Life,18.592,1.6481
Examples,R* 3: Color,7.2023,7.1934
Extreme,fp 2: Radial Velocity,-5.7474,-19.335
Radial Velocity Calculation,fp 2: Radial Velocity,14.264,10.697
Exit,ne 10: Application,-21.333,-6.1382
Neptune Density,fp 3: Planet Composition,-22.201,11.987
Habitability,Intro 4: Time,-6.2798,-21.963
Night Lights,Intro 6: Drake Conjecture,7.7963,-17.983
Spreadsheets,Science Literacy,-5.2828,-0.18862
Meth - Distribution,R* 2: Brightness,-9.4917,-22.116
Reality Extension,Science Literacy,-4.2274,0.14303
Survey Results,R* 5: Stellar Lifecycles,-4.5002,-7.5597
Summary,ne 6: Planetary Evolution,20.776,-18.323
Results,Intro 6: Drake Conjecture,7.5026,-18.994
Set 5,R* 2: Brightness,-24.517,-20.112
Phospholipid - Behavior,fl 1: Defining Life,-23.125,0.22676
Limited Sampling,fp 1: Transits,-9.5304,16.438
System 1 Setup,L: Application,15.152,-6.7147
Final Tally,ne 3: Gasses,10.746,14.436
Matter and Energy,Science Literacy,-21.864,9.0721
Permanent Sink,ne 8: Inorganic Carbon Cycle,3.5231,28.58
Cap Carbonate - Interpret,ne 10: Ancient Climates,15.096,0.74037
Snowball Setup,ne 10: Ancient Climates,12.166,26.279
Brains,Intro 2: Mindscapes,-10.009,14.866
Saturn Density,fp 3: Planet Composition,-20.398,13.352
Group Molecules - Noble,ne 3: Gasses,8.9468,10.653
Introduction,R* 3: Color,-3.3623,-6.4386
Patterns - Report,Intro 2: Mindscapes,-9.3017,14.34
Loop - Rain/H2CO3,ne 8: Inorganic Carbon Cycle,2.7204,28.899
Lecturette:  Light Curves,fp 1: Transits,-2.172,0.24252
Survey Results,Intro 5: The Scientific Process,4.479,-23
AP - Logic 4,ne 2: Energy Balance,-22.018,-5.4083
Instructions,fp 1: Application,-6.3857,-3.3498
Survey,fp 4: Atmospheres,-22.214,-0.66725
Bridge,ne 2: Energy Balance,-23.694,-9.3679
Upper Ridge,ne 7: Age Dating,9.1053,-21.441
DNA-RNA-Proteins,fl 1: Defining Life,-23.353,0.7825
Reality Check,Intro 5: The Scientific Process,16.219,-20.027
Calculation,Intro 5: The Scientific Process,15.46,-20.302
Conclusion,L: Doomsday,8.3994,8.2731
Observed,Intro 5: The Scientific Process,18.131,-18.242
Explore Earth Surface,ne 6: Planetary Evolution,14.924,10.37
RH - Compare,Science Literacy,-15.218,6.4031
Exit,fi 1: Application,20.243,7.4845
Summary,fl 5: Biosignatures,13.067,-1.6643
Geo Site Exploration,fi 1: Oxygen and Life,19.554,2.4722
Physical Description,fp 1: Transits,-9.3878,16.588
Survey,fp 3: Planet Composition,3.2134,29.664
Collapse,L: Doomsday,8.6803,15.9
Elements,fl 1: Defining Life,-22.875,-1.0087
Threat,L: Doomsday,8.3068,15.574
Introduction,L: Doomsday,12.279,-1.4667
Label H-R Diagram,R* 4: H-R Diagram,-0.08887,-11.049
Ratios,ne 6: Planetary Evolution,2.5977,7.5785
Survey Results,fp 2: Radial Velocity,-26.043,-19.922
Temperature,Science Literacy,-21.323,8.6963
Simplest Solution,fp 3: Planet Composition,-19.648,14.175
